date,match_number,city,team_1,team_2,team_1_runs.total,team_2_runs.total,match_winner,player_of_match,team_1_over,team_2_over,toss_winner,toss_decision,team_1_runs.extras,team_2_runs.extras,team_1_extras.legbyes,team_2_extras.legbyes,team_1_extras.wides,team_2_extras.wides,team_1_extras.byes,team_2_extras.byes,team_1_extras.noballs,team_2_extras.noballs,officials_match_referees,officials_reserve_umpires,officials_tv_umpires,officials_umpires_1,officials_umpires_2,outcome_by_wickets,season,venue,outcome_by_runs,event_stage,outcome_method,match_extras,match_legbyes,match_wides,match_byes,match_noballs,match_4's,match_6's
2018-04-14,10,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,138.0,139.0,Sunrisers Hyderabad,B Stanlake,19.0,18.0,Sunrisers Hyderabad,field,7.0,5.0,2.0,0.0,3.0,5.0,0.0,0.0,2.0,0.0,RB Richardson,UV Gandhe,CB Gaffaney,AK Chaudhary,A Nand Kishore,5.0,2018,EdenGardens,,group_stage,regular,12.0,2.0,8.0,0.0,2.0,26.0,7.0
2018-04-15,11,Bengaluru,Rajasthan Royals,Royal Challengers Bangalore,217.0,198.0,Rajasthan Royals,SV Samson,19.0,19.0,Royal Challengers Bangalore,field,14.0,6.0,2.0,1.0,6.0,3.0,4.0,2.0,2.0,0.0,M Nayyar,K Srinath,A Deshmukh,C Shamshuddin,S Ravi,,2018,MChinnaswamyStadium,19.0,group_stage,regular,20.0,3.0,9.0,6.0,2.0,34.0,21.0
2018-04-15,12,Chandigarh,Kings XI Punjab,Chennai Super Kings,197.0,193.0,Kings XI Punjab,CH Gayle,19.0,19.0,Chennai Super Kings,field,1.0,13.0,0.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,S Chaturvedi,R Pandit,NJ Llong,CK Nandan,VA Kulkarni,,2018,PunjabCricketAssociationISBindraStadium,4.0,group_stage,regular,14.0,2.0,12.0,0.0,0.0,34.0,17.0
2018-04-16,13,Kolkata,Kolkata Knight Riders,Delhi Daredevils,200.0,129.0,Kolkata Knight Riders,N Rana,19.0,14.0,Delhi Daredevils,field,6.0,8.0,4.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,RB Richardson,UV Gandhe,CB Gaffaney,AK Chaudhary,A Nand Kishore,,2018,EdenGardens,71.0,group_stage,regular,14.0,7.0,7.0,0.0,0.0,27.0,20.0
2018-04-17,14,Mumbai,Mumbai Indians,Royal Challengers Bangalore,213.0,167.0,Mumbai Indians,RG Sharma,19.0,19.0,Royal Challengers Bangalore,field,17.0,7.0,1.0,2.0,16.0,3.0,0.0,1.0,0.0,1.0,J Srinath,N Pandit,KN Ananthapadmanabhan,Nitin Menon,RJ Tucker,,2018,WankhedeStadium,46.0,group_stage,regular,24.0,3.0,19.0,1.0,1.0,30.0,20.0
2018-04-18,15,Jaipur,Rajasthan Royals,Kolkata Knight Riders,160.0,163.0,Kolkata Knight Riders,N Rana,19.0,18.0,Kolkata Knight Riders,field,5.0,3.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,M Nayyar,K Srinath,C Shamshuddin,A Deshmukh,S Ravi,7.0,2018,SawaiMansinghStadium,,group_stage,regular,8.0,2.0,5.0,0.0,1.0,30.0,10.0
2018-04-19,16,Chandigarh,Kings XI Punjab,Sunrisers Hyderabad,193.0,178.0,Kings XI Punjab,CH Gayle,19.0,19.0,Kings XI Punjab,bat,8.0,13.0,5.0,2.0,3.0,10.0,0.0,0.0,0.0,1.0,S Chaturvedi,R Pandit,VA Kulkarni,AK Chaudhary,NJ Llong,,2018,PunjabCricketAssociationISBindraStadium,15.0,group_stage,regular,21.0,7.0,13.0,0.0,1.0,21.0,19.0
2018-04-20,17,Pune,Chennai Super Kings,Rajasthan Royals,204.0,140.0,Chennai Super Kings,SR Watson,19.0,18.0,Rajasthan Royals,field,6.0,8.0,0.0,0.0,5.0,8.0,0.0,0.0,1.0,0.0,J Srinath,N Pandit,RJ Tucker,KN Ananthapadmanabhan,Nitin Menon,,2018,MaharashtraCricketAssociationStadium,64.0,group_stage,regular,14.0,0.0,13.0,0.0,1.0,35.0,9.0
2018-04-21,18,Kolkata,Kolkata Knight Riders,Kings XI Punjab,191.0,126.0,Kings XI Punjab,KL Rahul,19.0,11.0,Kings XI Punjab,field,9.0,2.0,1.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,M Nayyar,K Srinath,S Ravi,A Deshmukh,C Shamshuddin,9.0,2018,EdenGardens,,group_stage,D/L,11.0,1.0,9.0,0.0,1.0,35.0,13.0
2018-04-21,19,Bengaluru,Delhi Daredevils,Royal Challengers Bangalore,174.0,176.0,Royal Challengers Bangalore,AB de Villiers,19.0,17.0,Royal Challengers Bangalore,field,12.0,4.0,9.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,RB Richardson,UV Gandhe,A Nand Kishore,CB Gaffaney,CK Nandan,6.0,2018,MChinnaswamyStadium,,group_stage,regular,16.0,10.0,6.0,0.0,0.0,27.0,19.0
2018-04-22,20,Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,182.0,178.0,Chennai Super Kings,AT Rayudu,19.0,19.0,Sunrisers Hyderabad,field,4.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,S Chaturvedi,R Pandit,NJ Llong,AK Chaudhary,VA Kulkarni,,2018,RajivGandhiInternationalStadium,4.0,group_stage,regular,6.0,0.0,6.0,0.0,0.0,28.0,20.0
2018-04-22,21,Jaipur,Mumbai Indians,Rajasthan Royals,167.0,168.0,Rajasthan Royals,JC Archer,19.0,19.0,Mumbai Indians,bat,5.0,6.0,1.0,0.0,3.0,4.0,0.0,0.0,1.0,2.0,J Srinath,HAS Khalid,Nitin Menon,KN Ananthapadmanabhan,RJ Tucker,3.0,2018,SawaiMansinghStadium,,group_stage,regular,11.0,1.0,7.0,0.0,3.0,27.0,10.0
2018-04-23,22,Delhi,Kings XI Punjab,Delhi Daredevils,143.0,139.0,Kings XI Punjab,AS Rajpoot,19.0,19.0,Delhi Daredevils,field,14.0,9.0,8.0,2.0,5.0,7.0,1.0,0.0,0.0,0.0,RB Richardson,GR Sadashiv Iyer,CB Gaffaney,A Nand Kishore,CK Nandan,,2018,ArunJaitleyStadium,4.0,group_stage,regular,23.0,10.0,12.0,1.0,0.0,23.0,5.0
